正在启动 Julia 探测模块 ...
共检测到 200 个文件需要探测。
初始化防撞模块 STM & TRM...
加载推演剧本: D:/workforce/project/suma/suma/suma/example\AutoGen_Encounter_0001.json
[Time    2] 距离:5000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    3] 距离:5000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    4] 距离:4000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    5] 距离:4000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    6] 距离:4000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    7] 距离:4000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    8] 距离:4000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time    9] 距离:3000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time   10] 距离:3000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time   11] 距离:3000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time   12] 距离:3000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time   13] 距离:3000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time   14] 距离:2000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:100.0 => H:0 | V:0
[Time   15] 距离:2000 | 相高:-400 | 方位: +30° | 航向差:-150° | 目标速:100 | 本机速:100 | 目标垂速:+20 | 本机垂:+20 | Tau:90.0 => H:0 | V:0
