Range(ft),Rel_Altitude(ft),Bearing(deg),Rel_Heading(deg),Intruder_Speed(fps),Own_Speed(fps),Own_Vert_Rate(fps),Int_Vert_Rate(fps),Tau(s),Recommended_Action
100.0,-100.0,-0.0,0.0,100.0,50.0,20.0,10.0,5.0,"H:2 | V:4"
100.0,-0.0,-0.0,0.0,0.0,50.0,20.0,10.0,5.0,"H:2 | V:4"
100.0,-0.0,180.0,0.0,0.0,50.0,20.0,10.0,5.0,"H:2 | V:4"
200.0,-100.0,-0.0,0.0,100.0,50.0,20.0,10.0,5.0,"H:2 | V:4"
200.0,-0.0,-0.0,-0.0,0.0,50.0,20.0,10.0,5.0,"H:2 | V:5"
300.0,-100.0,-0.0,0.0,100.0,50.0,20.0,10.0,5.0,"H:2 | V:4"
300.0,-0.0,-0.0,-0.0,0.0,50.0,20.0,10.0,5.0,"H:2 | V:5"
400.0,-100.0,-0.0,0.0,100.0,50.0,20.0,10.0,5.0,"H:2 | V:4"
400.0,0.0,-0.0,0.0,0.0,50.0,20.0,10.0,5.0,"H:2 | V:5"
500.0,-100.0,-0.0,0.0,100.0,50.0,20.0,10.0,5.0,"H:2 | V:4"
500.0,-100.0,-0.0,180.0,50.0,50.0,20.0,10.0,10.0,"H:2 | V:4"
500.0,0.0,-0.0,-0.0,0.0,50.0,20.0,10.0,10.0,"H:2 | V:5"
500.0,0.0,-0.0,0.0,0.0,50.0,20.0,10.0,5.0,"H:2 | V:5"
500.0,0.0,-0.0,0.0,0.0,50.0,20.0,10.0,10.0,"H:2 | V:5"
500.0,100.0,-0.0,0.0,0.0,50.0,20.0,10.0,10.0,"H:2 | V:5"
1000.0,-200.0,-0.0,0.0,100.0,50.0,20.0,10.0,5.0,"H:2 | V:4"
1000.0,-100.0,-0.0,-180.0,50.0,50.0,20.0,20.0,15.0,"H:2 | V:4"
1000.0,-100.0,-0.0,0.0,100.0,50.0,20.0,10.0,5.0,"H:2 | V:4"
1000.0,-100.0,-0.0,180.0,50.0,50.0,20.0,20.0,10.0,"H:2 | V:4"
1000.0,-100.0,0.0,-180.0,50.0,50.0,20.0,10.0,10.0,"H:2 | V:4"
1000.0,-100.0,0.0,-180.0,50.0,50.0,20.0,20.0,10.0,"H:2 | V:4"
1000.0,-100.0,0.0,180.0,50.0,50.0,20.0,10.0,15.0,"H:2 | V:4"
1000.0,-100.0,0.0,180.0,50.0,50.0,20.0,20.0,15.0,"H:2 | V:4"
1000.0,100.0,-0.0,0.0,0.0,50.0,20.0,10.0,10.0,"H:2 | V:5"
1000.0,100.0,-0.0,0.0,0.0,50.0,20.0,10.0,15.0,"H:2 | V:5"
1000.0,100.0,-0.0,0.0,0.0,50.0,20.0,10.0,20.0,"H:2 | V:5"
1500.0,-100.0,-0.0,-180.0,50.0,50.0,20.0,10.0,20.0,"H:2 | V:4"
1500.0,-100.0,-0.0,-180.0,50.0,50.0,20.0,20.0,20.0,"H:2 | V:4"
1500.0,-100.0,-0.0,180.0,50.0,50.0,20.0,10.0,20.0,"H:2 | V:4"
1500.0,-100.0,0.0,-180.0,50.0,50.0,20.0,10.0,15.0,"H:2 | V:4"
1500.0,-100.0,0.0,180.0,50.0,50.0,20.0,10.0,15.0,"H:2 | V:4"
