time,intruder_id,tau_horiz,tau_vert,tau_min,cpa_dist_ft,range_ft,rel_alt_ft
0,222,33.318957880422175,66.66666666666667,33.318957880422175,2.5823272765595513e-13,1999.1360631002228,200
1,222,32.504454356699085,65.66666666666667,32.504454356699085,2.565266662278499e-13,1939.6727093978,197
2,222,38.06447262459207,64.33333333333333,38.06447262459207,1.1571403064216833e-13,1889.6943078176257,193
3,222,37.071940716254694,63.333333333333336,37.071940716254694,2.537708329851632e-13,1840.445517944518,190
4,222,36.06486210403803,62.666666666666664,36.06486210403803,2.5242667275298635e-13,1790.467116368985,188
5,222,35.064913719719186,53.333333333333336,35.064913719719186,1.0659966931081273e-13,1740.8535206411839,160
6,222,34.07246309114455,52.333333333333336,34.07246309114455,2.498567027893943e-13,1691.6047307657557,157
7,222,33.06523133823607,51.333333333333336,33.06523133823607,2.4860354096142097e-13,1641.626329187902,154
8,222,32.065381530364746,50.333333333333336,32.065381530364746,9.748576282902586e-14,1592.0127334624212,151
9,222,31.065460106792905,48.666666666666664,31.065460106792905,2.4620944619680883e-13,1542.3991377346201,146
10,222,30.06547726920609,46.666666666666664,30.06547726920609,9.140916923933588e-14,1492.7855420091394,140
11,222,29.065542020343194,44.666666666666664,29.065542020343194,2.4394324583617967e-13,1443.1719462813383,134
12,222,28.065558957097466,42.666666666666664,28.065558957097466,2.428590342078394e-13,1393.5583505535371,128
13,222,27.06563027811933,40.666666666666664,27.06563027811933,8.229547705364223e-14,1343.9447548280564,122
14,222,26.05823223072556,38.666666666666664,26.05823223072556,7.923503179252214e-14,1293.9663532502027,116
15,222,25.065510080958223,36.666666666666664,25.065510080958223,2.3980851860367134e-13,1244.717563377095,110
16,222,24.065434360946327,34.666666666666664,24.065434360946327,7.318123578105476e-14,1195.1039676469734,104
17,222,23.05793780363559,32.666666666666664,23.05793780363559,2.37940518602272e-13,1145.1255660691197,98
18,222,22.065077707941736,30.666666666666668,22.065077707941736,6.710500016978981e-14,1095.8767761983327,92
19,222,21.05749279757662,28.666666666666668,21.05749279757662,2.362212956112388e-13,1045.8983746181584,86
20,222,20.057171015805974,26.666666666666668,20.057171015805974,1.2902133287485465e-13,996.2847788926778,80
21,222,19.056797736254424,24.666666666666668,19.056797736254424,5.796866967310666e-14,946.6711831671971,74
22,222,18.056342215685635,22.666666666666668,18.056342215685635,5.493057556599182e-14,897.0575874370753,68
23,222,17.055787322244324,20.666666666666668,17.055787322244324,5.18924686116199e-14,847.4439917139152,62
24,222,16.047788367911757,18.666666666666668,16.047788367911757,1.237306464049277e-13,797.4655901360616,56
25,222,15.046987816776356,16.666666666666668,15.046987816776356,4.579387451522218e-14,747.8519944082603,50
26,222,14.053416059439689,14.666666666666666,14.053416059439689,4.2778348518228316e-14,698.6032045305116,44
27,222,13.04492769216081,12.666666666666666,12.666666666666666,3.971799533065863e-14,648.6248029549785,38
28,222,12.043517893008286,10.666666666666666,10.666666666666666,3.6679768332606406e-14,599.0112072294978,32
29,222,11.034512550632648,8.666666666666666,8.666666666666666,3.3619403557784556e-14,549.0328056516441,26
30,222,10.0324732788023,6.666666666666667,6.666666666666667,6.454768044325504e-14,499.41920992616355,20
31,222,9.02994312984055,4.666666666666667,4.666666666666667,6.316495787167284e-14,449.80561419604174,14
32,222,8.019442603775966,2.6666666666666665,2.6666666666666665,6.189179208546529e-14,399.82721262050865,8
33,222,7.008091905070163,0.6666666666666666,0.6666666666666666,2.1422638963102694e-14,349.84881104033445,2
34,222,5.988189241136184,inf,5.988189241136184,1.8339926275263882e-14,299.5056036147489,-4
35,222,4.973769186415999,inf,4.973769186415999,3.2268550004855035e-14,249.52720203921584,-10
36,222,3.9564504488789023,inf,3.9564504488789023,1.221918959892267e-14,199.54880045672104,-16
37,222,2.9054744868797466,inf,2.9054744868797466,9.069448275565464e-15,148.11117547865763,-22
38,222,1.831896849416587,inf,1.831896849416587,5.875031125821236e-15,95.94393879352764,-28
39,222,0.6147823147292105,inf,0.6147823147292105,2.2338450460940786e-15,36.48058509342547,-34
40,222,inf,inf,inf,0.0,0.0,-40
41,222,inf,inf,inf,19.699515949243054,19.699515949243054,-46
42,222,inf,inf,inf,85.3645691211218,85.3645691211218,-52
43,222,inf,inf,inf,138.26141750171553,138.26141750171553,-58
44,222,inf,inf,inf,189.33423663436764,189.33423663436764,-64
45,222,inf,inf,inf,240.0422499100056,240.0422499100056,-70
46,222,inf,inf,inf,290.3854573402323,290.3854573402323,-76
47,222,inf,inf,inf,339.9990530657129,339.9990530657129,-82
48,222,inf,inf,inf,389.9774546458871,389.9774546458871,-88
49,222,inf,inf,inf,439.59105037368835,439.59105037368835,-94
50,222,inf,inf,inf,489.56945194922145,489.56945194922145,-100
51,222,inf,inf,inf,539.5478535270751,539.5478535270751,-106
52,222,inf,inf,inf,589.1614492502351,589.1614492502351,-112
53,222,inf,inf,inf,639.1398508304094,639.1398508304094,-118
54,222,inf,inf,inf,688.3886407058376,688.3886407058376,-124
55,222,inf,inf,inf,738.3670422836913,738.3670422836913,-130
56,222,inf,inf,inf,787.9806380114925,787.9806380114925,-136
57,222,inf,inf,inf,837.5942337392937,837.5942337392937,-142
58,222,inf,inf,inf,887.5726353125062,887.5726353125062,-148
59,222,inf,inf,inf,936.8214251879344,936.8214251879344,-154
