time,intruder_id,tau_horiz,tau_vert,tau_min,cpa_dist_ft,range_ft,rel_alt_ft
0,100,44.028819775718034,inf,44.028819775718034,5.146486571922425e-12,29724.91292226186,50
1,100,43.02816461238245,inf,43.02816461238245,3.557518933807837e-12,29049.34660577009,50
2,100,42.02750944905213,inf,42.02750944905213,3.474785921097931e-12,28373.780289281873,50
3,100,41.02685428571655,inf,41.02685428571655,4.97402379710322e-12,27698.2139727901,50
4,100,40.02619912238096,inf,40.02619912238096,4.917976003680143e-12,27022.64765629833,50
5,100,39.025543959045386,inf,39.025543959045386,3.226586882966906e-12,26347.08133980656,50
6,100,38.02488879571507,inf,38.02488879571507,4.808191651585694e-12,25671.515023318345,50
7,100,37.02423363237949,inf,37.02423363237949,3.0611208575466586e-12,24995.948706826573,50
8,100,36.02357846904391,inf,36.02357846904391,2.978387844836317e-12,24320.382390334802,50
9,100,35.02292330570833,inf,35.02292330570833,4.649699636284365e-12,23644.81607384303,50
10,100,34.022268142372745,inf,34.022268142372745,2.8129218194156337e-12,22969.24975735126,50
11,100,33.02161297904244,inf,33.02161297904244,4.548496534142869e-12,22293.683440863046,50
12,100,32.02095781570685,inf,32.02095781570685,4.499323502706622e-12,21618.11712437127,50
13,100,31.020302652371267,inf,31.020302652371267,2.5647227812850443e-12,20942.5508078795,50
14,100,30.019647489040953,inf,30.019647489040953,2.4819897685751386e-12,20266.984491391286,50
15,100,29.018992325705376,inf,29.018992325705376,2.399256755864798e-12,19591.418174899518,50
16,100,28.01833716236979,inf,28.01833716236979,2.3165237431544557e-12,18915.851858407743,50
17,100,27.01768199903421,inf,27.01768199903421,2.2337907304441138e-12,18240.28554191597,50
18,100,26.017026835698626,inf,26.017026835698626,2.1510577177337723e-12,17564.7192254242,50
19,100,25.016371672363043,inf,25.016371672363043,2.068324705023431e-12,16889.15290893243,50
20,100,24.01571650903273,inf,24.01571650903273,2.6928232060045453e-12,16213.586592444213,50
21,100,23.015061345697145,inf,23.015061345697145,1.9028586796031832e-12,15538.020275952442,50
22,100,22.014406182361572,inf,22.014406182361572,1.820125666892842e-12,14862.453959460674,50
23,100,21.013751019031254,inf,21.013751019031254,1.7373926541829359e-12,14186.887642972457,50
24,100,20.01309585569567,inf,20.01309585569567,2.4589877956855186e-12,13511.321326480685,50
25,100,19.01244069236009,inf,19.01244069236009,1.5719266287622527e-12,12835.755009988914,50
26,100,18.011785529024507,inf,18.011785529024507,1.489193616051911e-12,12160.188693497143,50
27,100,17.011130365688928,inf,17.011130365688928,2.299315958924315e-12,11484.622377005373,50
28,100,16.010475202353348,inf,16.010475202353348,1.3237275906312283e-12,10809.056060513602,50
29,100,15.00982003902303,inf,15.00982003902303,1.240994577921322e-12,10133.489744025384,50
30,100,14.009164875687448,inf,14.009164875687448,1.1582615652109803e-12,9457.923427533613,50
31,100,13.008509712351868,inf,13.008509712351868,1.075528552500639e-12,8782.357111041843,50
32,100,12.007854549021554,inf,12.007854549021554,1.3464113770989162e-12,8106.790794553627,50
33,100,11.00719938568597,inf,11.00719938568597,1.2866213179288518e-12,7431.224478061856,50
34,100,10.006544222350389,inf,10.006544222350389,8.273295143700497e-13,6755.658161570084,50
35,100,9.005889059014809,inf,9.005889059014809,7.445965016597083e-13,6080.091845078314,50
36,100,8.005233895679227,inf,8.005233895679227,1.1248306052723033e-12,5404.525528586542,50
37,100,7.004578732348912,inf,7.004578732348912,5.791304762394605e-13,4728.959212098327,50
38,100,6.003923569013329,inf,6.003923569013329,4.96397463529119e-13,4053.3928956065556,50
39,100,5.0032684056777486,inf,5.0032684056777486,4.1366445081877746e-13,3377.8265791147846,50
40,100,4.002613242347434,inf,4.002613242347434,3.309314381088714e-13,2702.260262626569,50
41,100,3.001958079011852,inf,3.001958079011852,2.4819842539852985e-13,2026.6939461347974,50
42,100,2.0013029156762703,inf,2.0013029156762703,2.812073809142226e-13,1351.1276296430262,50
43,100,1.0006477523406887,inf,1.0006477523406887,8.273239997784674e-14,675.5613131512551,50
44,100,inf,inf,inf,0.00500334051598729,0.00500334051598729,50
45,100,inf,inf,inf,675.5713198322871,675.5713198322871,50
46,100,inf,inf,inf,1351.137636320503,1351.137636320503,50
47,100,inf,inf,inf,2026.703952812274,2026.703952812274,50
48,100,inf,inf,inf,2702.270269304045,2702.270269304045,50
49,100,inf,inf,inf,3377.8365857922613,3377.8365857922613,50
50,100,inf,inf,inf,4053.4029022840323,4053.4029022840323,50
51,100,inf,inf,inf,4728.969218775803,4728.969218775803,50
52,100,inf,inf,inf,5404.535535267575,5404.535535267575,50
53,100,inf,inf,inf,6080.101851759346,6080.101851759346,50
54,100,inf,inf,inf,6755.668168251116,6755.668168251116,50
55,100,inf,inf,inf,7431.234484739332,7431.234484739332,50
56,100,inf,inf,inf,8106.800801231104,8106.800801231104,50
57,100,inf,inf,inf,8782.367117722873,8782.367117722873,50
58,100,inf,inf,inf,9457.93343421109,9457.93343421109,50
59,100,inf,inf,inf,10133.499750702862,10133.499750702862,50
