time,intruder_id,tau_horiz,tau_vert,tau_min,cpa_dist_ft,range_ft,rel_alt_ft
0,100,43.999993,inf,43.999993,29724.91,29724.91,-50
1,100,42.999993,inf,42.999993,29049.34,29049.34,-50
2,100,41.999993,inf,41.999993,28373.78,28373.78,-50
3,100,40.999993,inf,40.999993,27698.21,27698.21,-50
4,100,39.999993,inf,39.999993,27022.65,27022.65,-50
5,100,38.999993,inf,38.999993,26347.08,26347.08,-50
6,100,37.999993,inf,37.999993,25671.51,25671.51,-50
7,100,36.999993,inf,36.999993,24995.95,24995.95,-50
8,100,35.999993,inf,35.999993,24320.38,24320.38,-50
9,100,34.999993,inf,34.999993,23644.82,23644.82,-50
10,100,33.999993,inf,33.999993,22969.25,22969.25,-50
11,100,32.999993,inf,32.999993,22293.68,22293.68,-50
12,100,32.589835,inf,32.589835,21629.84,21629.84,-50
13,100,33.430049,inf,33.430049,21000.99,21000.99,-50
14,100,35.79753,inf,35.79753,20428.89,20428.89,-50
15,100,40.288765,inf,40.288765,19931.9,19931.9,-50
16,100,48.09737,inf,48.09737,19523.05,19523.05,-50
17,100,61.704985,inf,61.704985,19208.52,19208.52,-50
18,100,62.113709,inf,62.113709,18900.83,18900.83,-50
19,100,62.638847,inf,62.638847,18600.3,18600.3,-50
20,100,63.29545,inf,63.29545,18307.3,18307.3,-50
21,100,64.101282,inf,64.101282,18022.19,18022.19,-50
22,100,65.077459,inf,65.077459,17745.35,17745.35,-50
23,100,66.249276,inf,66.249276,17477.18,17477.18,-50
24,100,67.647298,inf,67.647298,17218.07,17218.07,-50
25,100,69.308809,inf,69.308809,16968.46,16968.46,-50
26,100,71.27976,inf,71.27976,16728.75,16728.75,-50
27,100,73.617447,inf,73.617447,16499.39,16499.39,-50
28,100,76.394241,inf,76.394241,16280.81,16280.81,-50
29,100,79.702898,inf,79.702898,16073.45,16073.45,-50
30,100,83.664277,inf,83.664277,15877.75,15877.75,-50
31,100,88.438855,inf,88.438855,15694.15,15694.15,-50
32,100,94.244412,inf,94.244412,15523.08,15523.08,-50
33,100,101.384112,inf,101.384112,15364.95,15364.95,-50
34,100,110.292903,inf,110.292903,15220.17,15220.17,-50
35,100,121.617845,inf,121.617845,15089.13,15089.13,-50
36,100,136.36537,inf,136.36537,14972.18,14972.18,-50
37,100,156.190997,inf,156.190997,14869.66,14869.66,-50
38,100,184.023201,inf,184.023201,14781.87,14781.87,-50
39,100,225.578068,inf,225.578068,14709.07,14709.07,-50
40,100,293.712036,inf,293.712036,14651.49,14651.49,-50
41,100,424.634283,inf,424.634283,14609.31,14609.31,-50
42,100,775.037409,inf,775.037409,14582.65,14582.65,-50
43,100,4602.445914,inf,4602.445914,14571.61,14571.61,-50
